INDICE_CNPJ;NÚMERO DE INSCRIÇÃO;DATA DE ABERTURA;NOME EMPRESARIAL;TÍTULO DO ESTABELECIMENTO (NOME DE FANTASIA);PORTE;CÓDIGO E DESCRIÇÃO DA ATIVIDADE ECONÔMICA PRINCIPAL;CÓDIGO E DESCRIÇÃO DAS ATIVIDADES ECONÔMICAS SECUNDÁRIAS;CÓDIGO E DESCRIÇÃO DA NATUREZA JURÍDICA;LOGRADOURO;NÚMERO;COMPLEMENTO;CEP;BAIRRO/DISTRITO;MUNICÍPIO;UF;ENDEREÇO ELETRÔNICO;TELEFONE;ENTE FEDERATIVO RESPONSÁVEL (EFR);SITUAÇÃO CADASTRAL;DATA DA SITUAÇÃO CADASTRAL;MOTIVO DE SITUAÇÃO CADASTRAL;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL
32384344000138;32.384.344/0001-38 MATRIZ;20/07/2017;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS;FUNEMP;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;132-5 - Fundo Público da Administração Direta Estadual ou do Distrito Federal;R DIAS ADORNO;367;ANDAR 4;30.190-100;SANTO AGOSTINHO;BELO HORIZONTE;MG;FUNEMP@MPMG.MP.BR;(31) 3330-9939;MG;ATIVA;20/07/2017;;********;********
17498205000141;17.498.205/0001-41 MATRIZ;10/06/1970;FUNDACAO CLOVIS SALGADO;********;DEMAIS;90.01-9-99 - Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente;Não informada;114-7 - Fundação Pública de Direito Público Estadual ou do Distrito Federal;AV AFONSO PENA;1537;PALACIO DAS ARTES;30.130-004;CENTRO;BELO HORIZONTE;MG;;;MG;ATIVA;03/11/2005;;********;********
16907746000113;16.907.746/0001-13 MATRIZ;25/09/2012;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;GABINETE DO SECRETARIO MG;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4001;ANDAR 7;31.630-901;SERRA VERDE;BELO HORIZONTE;MG;;(31) 3915-6228;MG;ATIVA;25/09/2012;;********;********
17309790000194;17.309.790/0001-94 MATRIZ;07/05/1946;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER-MG;DER - MG;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;111-2 - Autarquia Estadual ou do Distrito Federal;AV DOS ANDRADAS;1120;********;30.120-016;SANTA EFIGENIA;BELO HORIZONTE;MG;CONTABILIDADE@DER.MG.GOV.BR;(31) 3235-1370/ (31) 3235-1017;MG;ATIVA;03/11/2005;;********;********
17155730000164;17.155.730/0001-64 MATRIZ;27/05/1952;COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;********;DEMAIS;35.14-0-00 - Distribuição de energia elétrica;35.11-5-01 - Geração de energia elétrica;203-8 - Sociedade de Economia Mista;AV BARBACENA;1200;ANDAR 18;30.190-924;SANTO AGOSTINHO;BELO HORIZONTE;MG;EDIRAMOS@CEMIG.COM.BR;(31) 3506-7500;MG;ATIVA;03/11/2005;;********;********
03919139000121;03.919.139/0001-21 MATRIZ;05/04/2000;TREM METROPOLITANO DE BELO HORIZONTE S/A - METROMINAS;********;DEMAIS;49.12-4-03 - Transporte metroviário;Não informada;201-1 - Empresa Pública;ROD PREFEITO AMERICO GIANETTI S/N;S/N;"EDIF: MINAS, 7º;";31.630-901;SERRA VERDE (VENDA NOVA);BELO HORIZONTE;MG;AURELIO.MOREIRA@TRANSPORTES.MG.GOV.BR;(31) 3915-8185;MG;ATIVA;03/11/2005;;********;********
18715599000105;18.715.599/0001-05 MATRIZ;31/12/1974;MINAS GERAIS SECRETARIA DE ESTADO DA EDUCACAO;MINAS GERAIS SECRETARIA DE ESTADO DA EDUCACAO;DEMAIS;85.13-9-00 - Ensino fundamental;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4143;ANDAR 11;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;GABEEMG@EDUCACAO.MG.GOV.BR;(31) 3915-3838/ (31) 3915-3822;MG;ATIVA;04/02/1999;;********;********
36253414000170;36.253.414/0001-70 MATRIZ;02/12/2019;FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS  FET-MG;FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS FET-MG;DEMAIS;84.11-6-00 - Administração pública em geral (Dispensada *);Não informada;132-5 - Fundo Público da Administração Direta Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II 4143;4143;ANDAR 14;31.630-900;SERRA VERDE (VENDA NOVA);BELO HORIZONTE;MG;SPGF@SOCIAL.MG.GOV.BR;(31) 3916-7904/ (31) 3916-7885;MG;ATIVA;02/12/2019;;********;********
33224254000142;33.224.254/0001-42 MATRIZ;02/08/1972;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS SA;********;DEMAIS;82.11-3-00 - Serviços combinados de escritório e apoio administrativo;80.20-0-01 - Atividades de monitoramento de sistemas de segurança eletrônico;201-1 - Empresa Pública;AV ALVARES CABRAL;200;"ANDAR: 02; ANDAR: 12; ANDAR: 13; ANDAR: 14; ANDAR: 16;";30.170-000;CENTRO;BELO HORIZONTE;MG;CONTABILIDADE@MGS.SRV.BR;(31) 3239-8400;MG;ATIVA;03/11/2005;;********;********
03389126000198;03.389.126/0001-98 MATRIZ;02/06/1999;CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS;CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS;DEMAIS;84.25-6-00 - Defesa Civil;86.50-0-04 - Atividades de fisioterapia;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4143;********;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;DCF3@BOMBEIROS.MG.GOV.BR;(31) 3915-7571/ (31) 3915-7572;MG;ATIVA;11/10/2018;;********;********
